departamento;ciudad;latitud;longitud
Sucre;Covenas;9,4167;-75,7
Santander;El Playon;7,4767;-73,2081
Chocó;Lloro;5,5;-76,5333
Putumayo;Puerto Caicedo;0,685;-76,6044
Huila;Oporapa;2,05;-75,9667
Cundinamarca;Gacheta;4,8176;-73,636
Caquetá;Belen de los Andaquies;1,4161;-75,8725
Valle del Cauca;El Aguila;4,9167;-76,0833
Norte de Santander;La Esperanza;7,6392;-73,3358
Cundinamarca;La Palma;5,3606;-74,3897
Valle del Cauca;Vijes;3,7;-76,45
Norte de Santander;Cachira;7,75;-73,1667
Norte de Santander;Tarra;8,0475;-73,0836
Norte de Santander;El Tarra;8,5756;-73,0944
Cundinamarca;Yacopi;5,4667;-74,3333
Santander;Mogotes;6,4833;-72,9667
Sucre;Buenavista;9,3222;-74,9772
Tolima;Icononzo;4,1833;-74,5333
Antioquia;Santo Domingo;6,4708;-75,1658
Cundinamarca;Choachi;4,5297;-73,9236
Cundinamarca;Ubala;4,7439;-73,5347
Tolima;Villahermosa;5;-75,1667
Atlántico;Tubara;10,8667;-74,9833
Nariño;Yacuanquer;1,1167;-77,4
Meta;Lejanias;3,5268;-74,0232
Norte de Santander;Chitaga;7,1333;-72,6667
Antioquia;Angostura;6,8667;-75,3333
Bolívar;Regidor;8,6667;-73,8333
Huila;Palestina;1,75;-76,0667
Boyacá;Umbita;5,2167;-73,4667
Cundinamarca;Caparrapi;5,3442;-74,4917
Antioquia;Venecia;5,9167;-75,75
Huila;Tello;3,0667;-75,1333
Cundinamarca;Lenguazaque;5,3069;-73,7061
Norte de Santander;Puerto Santander;8,3636;-72,4075
Huila;Santa Maria;2,95;-75,65
Santander;Charala;6,25;-73,0833
Cundinamarca;Medina;4,5092;-73,3494
Nariño;Mosquera;2,4903;-78,4953
Nariño;Potosi;0,8081;-77,5728
Boyacá;Toca;5,5667;-73,2
Nariño;Genova;1,6442;-77,0194
Antioquia;Granada;6,147;-75,188
Huila;Saladoblanco;2,0167;-76,05
Boyacá;Ramiriqui;5,4;-73,3333
Santander;Suaita;6,1019;-73,4406
Valle del Cauca;El Cairo;4,75;-76,25
Antioquia;Vegachi;6,7731;-74,7994
Norte de Santander;San Calixto;8,4;-73,2167
Chocó;Bellavista;6,5236;-76,9744
Cauca;Padilla;3,2333;-76,3167
Cauca;La Sierra;2,25;-76,8333
Bolívar;Arroyohondo;10,1333;-75,5667
Tolima;Coello;4,3333;-74,9167
Bolívar;Margarita;9,0833;-74,2
Caldas;Aranzazu;5,3;-75,45
Bolívar;Norosi;8,5261;-74,0378
Cundinamarca;Cachipay;4,7308;-74,4375
Boyacá;Socota;6,05;-72,6333
Cundinamarca;Sasaima;4,965;-74,4347
Cauca;San Sebastian;1,8439;-76,7717
Sucre;El Roble;9,1;-75,2
Bolívar;San Fernando;9,2797;-74,5339
Bolívar;San Fernando;9,2683;-74,5302
Huila;Tesalia;2,4833;-75,7333
Meta;Mesetas;3,3781;-74,0447
Norte de Santander;Hacari;8,3167;-73,15
Amazonas;Puerto Narino;-3,7733;-70,3819
Caldas;Belalcazar;5;-75,8167
Magdalena;Concordia;10,2667;-74,8333
Boyacá;Tuta;5,7;-73,2333
Risaralda;La Celia;5,0019;-76,0039
Caldas;Filadelfia;5,3;-75,6
Boyacá;Guateque;5,0056;-73,4722
Tolima;Cunday;4,0833;-74,6667
Boyacá;Chita;6,1667;-72,4167
Chocó;Mutis;6,2167;-77,4
Atlántico;Suan;10,3333;-74,8833
Boyacá;Pesca;5,5833;-73,05
Antioquia;Betania;5,75;-75,9667
Cauca;Piamonte;1,1194;-76,3269
Cundinamarca;Bojaca;4,7336;-74,3422
Caldas;Risaralda;5,1667;-75,75
Cundinamarca;Granada;4,5186;-74,3514
Tolima;Falan;5,1333;-74,95
Cundinamarca;Une;4,4019;-74,025
Boyacá;Tibana;5,3167;-73,4
Caquetá;Solita;0,8667;-75,65
Antioquia;Guatape;6,2333;-75,1667
La Guajira;El Molino;10,6533;-72,9242
Tolima;Palocabildo;5,1333;-75,0333
Cundinamarca;Carmen de Carupa;5,3503;-73,9053
Magdalena;San Zenon;9,245;-74,4992
Nariño;Consaca;1,2;-77,4667
Antioquia;Campamento;6,9789;-75,2964
Guaviare;Calamar;1,9206;-72,5542
Huila;Iquira;2,65;-75,65
Nariño;La Florida;1,3017;-77,4106
Nariño;Iscuande;2,4444;-77,9717
Norte de Santander;Arboledas;7,6667;-72,75
Meta;Puerto Lleras;3,2694;-73,375
Nariño;Linares;1,35;-77,5333
Boyacá;Siachoque;5,5;-73,2333
Chocó;Nuqui;5,7167;-77,2667
Huila;Yaguara;2,6661;-75,5186
Antioquia;Angelopolis;6,1333;-75,7
Cundinamarca;Tena;4,6547;-74,39
Casanare;Nunchia;5,6333;-72,2
Antioquia;Argelia;5,7425;-75,1464
Tolima;Carmen de Apicala;4,15;-74,7333
Cauca;Sucre;2,0383;-76,9253
Huila;Teruel;2,75;-75,5667
Tolima;Alvarado;4,5667;-74,95
Cesar;Gonzalez;8,4;-73,3333
Nariño;Ospina;1,0581;-77,5664
Antioquia;Entrerrios;6,5667;-75,5167
Cundinamarca;Tausa;5,1964;-73,8875
Santander;Zapatoca;6,8167;-73,2667
Magdalena;Buenavista;9,3333;-74,3
Meta;San Juan de Arama;3,3736;-73,8767
Nariño;Carlosama;0,8658;-77,7294
Cundinamarca;Junin;4,7903;-73,8136
Nariño;Iles;0,9667;-77,5167
Antioquia;Briceno;7,1111;-75,55
Antioquia;Pueblorrico;5,8;-75,85
Antioquia;Narino;5,6092;-75,1764
Santander;La Belleza;5,8614;-73,9683
Antioquia;Yali;6,6767;-74,8411
Boyacá;Muzo;5,5313;-74,1073
Valle del Cauca;El Dovio;4,5167;-76,2333
Casanare;Orocue;4,7942;-71,34
Chocó;Jurado;7,1114;-77,7714
