departamento;ciudad;latitud;longitud
Norte de Santander;Pamplona;7,3781;-72,6525
Santander;Cimitarra;6,3167;-73,95
Bolívar;Maria la Baja;10;-75,3333
Cesar;Agustin Codazzi;10,0367;-73,2369
Nariño;Samaniego;1,35;-77,6
Cauca;El Tambo;2,4514;-76,8108
Antioquia;Carepa;7,7578;-76,6553
Cauca;La Vega;2,0008;-76,7778
Córdoba;San Andres de Sotavento;9,15;-75,5
Córdoba;Ayapel;8,3167;-75,15
Antioquia;Urrao;6,3156;-76,1342
Valle del Cauca;Zarzal;4,3983;-76,0772
Córdoba;Valencia;8,2;-76,2167
Cesar;La Jagua de Ibirico;9,5667;-73,3333
Quindío;La Tebaida;4,45;-75,8
Cauca;Puerto Tejada;3,25;-76,4167
Córdoba;San Pelayo;8,9667;-75,85
Cauca;Bolivar;1,9708;-76,9694
Antioquia;Arboletes;8,8517;-76,4283
Cundinamarca;Villeta;5,0083;-74,4738
Antioquia;Andes;5,5833;-75,9167
Casanare;Aguazul;5,1731;-72,5547
Vichada;Cumaribo;4,4333;-69,8
Atlántico;Puerto Colombia;11,0167;-74,8833
Cauca;Miranda;3,25;-76,25
Nariño;El Charco;2,4775;-78,1111
Antioquia;Caceres;7,6667;-75,3333
Bolívar;Santa Rosa del Sur;7,9667;-74,05
Santander;Lebrija;7,1131;-73,2189
Quindío;Montenegro;4,5671;-75,7504
Córdoba;Pueblo Nuevo;8,5008;-75,5072
Antioquia;Yarumal;7;-75,5
Meta;Puerto Gaitan;4,3142;-72,0825
Córdoba;Tuchin;9,1833;-75,55
Arauca;Arauquita;7,0303;-71,4356
Nariño;Tuquerres;1,0833;-77,6167
Valle del Cauca;Sevilla;4,2689;-75,9361
Cundinamarca;Guaduas;5,0694;-74,5981
Antioquia;Segovia;7,0781;-74,7017
Chocó;Pie de Pato;5,5333;-77
Cesar;Bosconia;9,9761;-73,8903
Nariño;Cumbal;0,9078;-77,7908
Magdalena;Aracataca;10,5937;-74,1928
Valle del Cauca;La Union;3,6539;-76,5722
Huila;Acevedo;1,8192;-75,8964
Tolima;Libano;4,9167;-75,1667
La Guajira;Fonseca;10,8333;-72,8333
Cundinamarca;Villa de San Diego de Ubate;5,3072;-73,8144
La Guajira;San Juan del Cesar;10,7667;-73
Antioquia;Puerto Berrio;6,49;-74,4025
Antioquia;Taraza;7,5881;-75,4028
Nariño;Barbacoas;1,6717;-78,1397
Cauca;Cajibio;2,6333;-76,6333
Norte de Santander;Abrego;8;-73,2
Cundinamarca;Sibate;4,4908;-74,2594
Sucre;Sampues;9,1833;-75,3833
La Guajira;Dibulla;11,2667;-73,3
Cauca;Patia;2,1667;-77,0833
La Guajira;Barrancas;11;-72,75
Cauca;El Bordo;2,1667;-77,0833
Antioquia;Santa Rosa de Osos;6,65;-75,4667
Norte de Santander;Tibu;8,65;-72,7333
Tolima;Melgar;4,2039;-74,6428
Valle del Cauca;Dagua;3,6667;-76,7
Meta;La Macarena;2,1828;-73,7847
Cauca;Belalcazar;2,6547;-75,9928
Antioquia;Sonson;5,7097;-75,3108
Cundinamarca;Tocancipa;4,9657;-73,9136
Bolívar;San Pablo;7,4825;-73,925
Cauca;Piendamo;2,6408;-76,5284
Sucre;Santiago de Tolu;9,5333;-75,5833
Valle del Cauca;Guacari;3,7667;-76,3333
Huila;Gigante;2,3867;-75,5461
Caquetá;Cartagena del Chaira;1,35;-74,8333
Antioquia;Santuario;6,1375;-75,2639
Antioquia;Yarumal;7,0306;-75,5905
Quindío;Quimbaya;4,6333;-75,75
Cauca;Buenos Aires;2,9167;-76,6667
Meta;Puerto Lopez;4,0872;-72,9606
Sucre;San Luis de Since;9,25;-75,15
Huila;Campoalegre;2,6867;-75,3256
Córdoba;San Bernardo del Viento;9,35;-75,95
Cauca;Caldono;2,8;-76,5333
Huila;San Agustin;1,9;-76,2833
Bolívar;San Juan Nepomuceno;9,95;-75,0833
Sucre;Majagual;8,5;-74,6667
Risaralda;Quinchia;5,3379;-75,7296
Cauca;Timbio;2,3445;-76,6839
Caquetá;Puerto Rico;1,9142;-75,145
Valle del Cauca;Roldanillo;4,4167;-76,15
Caldas;Anserma;5,2381;-75,784
Córdoba;San Antero;9,3833;-75,75
Amazonas;Leticia;-4,2167;-69,9333
Cauca;Corinto;3,1739;-76,2594
Atlántico;Sabanagrande;10,8;-74,75
Cundinamarca;La Mesa;4,6303;-74,4625
Magdalena;Pivijay;10,4667;-74,6167
Magdalena;Puebloviejo;10,9942;-74,2833
Nariño;Bocas de Satinga;2,3469;-78,3256
Córdoba;Puerto Escondido;8,95;-76,25
Cauca;Silvia;2,6167;-76,3833
Cundinamarca;Cota;4,8167;-74,1
Tolima;San Sebastian de Mariquita;5,25;-74,9167
Magdalena;El Dificil;9,85;-74,2386
Cauca;Inza;2,55;-76,0667
Risaralda;La Virginia;4,9167;-75,8333
Antioquia;San Pedro de Uraba;8,2833;-76,3833
Tolima;Ortega;3,9167;-75,25
Antioquia;Remedios;7,0275;-74,6939
Atlántico;Santo Tomas;10,7667;-74,9167
Boyacá;Paipa;5,8333;-73,15
Nariño;Guachaves;1,2219;-77,6772
Magdalena;Sitionuevo;10,7833;-74,7167
Santander;Puerto Wilches;7,35;-73,9
Caldas;Neira;5,1664;-75,5189
Tolima;Guamo;4,0833;-74,9167
Santander;Socorro;6,5333;-73,2
Antioquia;Amaga;6,05;-75,7
Cesar;Chimichagua;9,25;-73,8167
Tolima;Planadas;3,1964;-75,6444
Cauca;Guapi;2,5703;-77,8856
Tolima;Fresno;5,1556;-75,0403
